
Version        Name                                                                                                           Vendor                                  InstallState IdentifyingNumber                     
16.68.26606    Microsoft .NET Core Runtime - 2.1.1 (x64)                                                                      Microsoft Corporation                              5 {F95EA188-25DF-4AE7-BDAA-4184BCBB8D9A}
16.112.27818   Microsoft .NET Core Runtime - 2.1.12 (x64)                                                                     Microsoft Corporation                              5 {FE6E0E4B-6775-43E3-8953-01827039E1C8}
16.72.26629    Microsoft .NET Core Runtime - 2.1.2 (x64)                                                                      Microsoft Corporation                              5 {ACC73072-9AD5-416C-94BF-D82DDCEA0F1B}
16.76.26725    Microsoft .NET Core Runtime - 2.1.3 (x64)                                                                      Microsoft Corporation                              5 {51406A02-E34F-4FA7-86B4-818380186282}
16.80.26814    Microsoft .NET Core Runtime - 2.1.4 (x64)                                                                      Microsoft Corporation                              5 {E7DD8CA6-7737-4F87-BD22-0C1731F4342C}
16.84.26919    Microsoft .NET Core Runtime - 2.1.5 (x64)                                                                      Microsoft Corporation                              5 {BEB59D04-C6DD-4926-AFEB-410CBE2EBCE4}
16.88.27019    Microsoft .NET Core Runtime - 2.1.6 (x64)                                                                      Microsoft Corporation                              5 {47683492-C5A1-4BF2-88A7-B8029553ACE6}
16.92.27130    Microsoft .NET Core Runtime - 2.1.7 (x64)                                                                      Microsoft Corporation                              5 {F0F9193B-E6C6-400B-8F0E-C3E7480964FE}
16.100.27415   Microsoft .NET Core Runtime - 2.1.9 (x64)                                                                      Microsoft Corporation                              5 {2B233930-D958-4767-A393-0FE59FDF8C2E}
16.128.27110   Microsoft .NET Core Runtime - 2.2.0 (x64)                                                                      Microsoft Corporation                              5 {37A84705-BC9D-4911-B325-3508EA409ADE}
8.0.6918       Microsoft .NET Core SDK - 2.0.0 (x64)                                                                          Microsoft Corporation                              5 {9B9F229F-477A-4F63-B0EC-8DC3CB954286}
8.0.39737      Microsoft .NET Core SDK - 2.0.2 (x64)                                                                          Microsoft Corporation                              5 {1F57119A-E76E-4BE9-9110-0E09933FB3F9}
