
Version         Name                                                                          Vendor                                  InstallState IdentifyingNumber                     
14.0.1000.169   SQL Server 2017 Shared Management Objects                                     Microsoft Corporation                              5 {10855B1A-F7F2-4D8A-A725-9287C73BED5A}
14.0.1000.169   SQL Server 2017 Shared Management Objects Extensions                          Microsoft Corporation                              5 {C6D92730-3EC0-47B1-8F6C-6F5635D1EFAC}
14.0.1000.169   SQL Server 2017 Shared Management Objects Extensions                          Microsoft Corporation                              5 {8C515C22-BE07-4908-985C-0AA9349E1ED4}
14.0.1000.169   SQL Server 2017 SQL Diagnostics                                               Microsoft Corporation                              5 {DFA6A906-3024-49DE-87AD-750EAED2FA49}
14.0.1000.169   SQL Server 2017 XEvent                                                        Microsoft Corporation                              5 {12D2DB8D-80FF-4152-8F51-EDB3BD3C6976}
14.0.1000.169   SQL Server 2017 XEvent                                                        Microsoft Corporation                              5 {AA2A015C-C210-413B-95F6-BF9D3CDD6E0D}
3.6.2.0         TypeScript SDK                                                                Microsoft Corporation                              5 {7C8CE25B-A2FA-4BE3-8543-D8124349C074}
10.0.26624      Universal CRT Extension SDK                                                   Microsoft Corporation                              5 {1FBCBC17-4527-2340-0832-B1D49C41FF67}
10.1.16299.15   Universal CRT Extension SDK                                                   Microsoft Corporation                              5 {A5FA2886-1925-133F-0D41-B9A8ECEA0A2D}
10.1.17134.12   Universal CRT Extension SDK                                                   Microsoft Corporation                              5 {18ABFDF6-23D9-87E6-015E-FFE3C7F153D5}
10.1.17763.132  Universal CRT Extension SDK                                                   Microsoft Corporation                              5 {7D225043-6CC5-7B56-11DD-AFF90E4C1C0C}
10.1.18362.1    Universal CRT Extension SDK                                                   Microsoft Corporation                              5 {13952D7A-B7B3-F4F8-5F29-5CD18E8168B7}
10.0.26624      Universal CRT Headers Libraries and Sources                                   Microsoft Corporation                              5 {8BFBEC30-33CC-13B4-849F-3B036F27466A}
10.1.16299.15   Universal CRT Headers Libraries and Sources                                   Microsoft Corporation                              5 {B739B4C5-EEEC-8E70-0276-38C4779AF398}
10.1.17134.12   Universal CRT Headers Libraries and Sources                                   Microsoft Corporation                              5 {0D6B41AF-D117-8944-A059-3F9346A896C5}
10.1.17763.132  Universal CRT Headers Libraries and Sources                                   Microsoft Corporation                              5 {CB19DBA2-C210-5646-9522-695A1317CD34}
10.1.18362.1    Universal CRT Headers Libraries and Sources                                   Microsoft Corporation                              5 {74CBC330-ED16-31B9-E8BE-0C6A8E67DE32}
10.1.17134.12   Universal CRT Redistributable                                                 Microsoft Corporation                              5 {B6273353-8B54-1F89-1A16-5940925104CE}
10.1.17763.132  Universal CRT Redistributable                                                 Microsoft Corporation                              5 {5F577A45-3C65-352B-061D-D6A57F05402C}
10.1.18362.1    Universal CRT Redistributable                                                 Microsoft Corporation                              5 {847D4DAF-0182-265B-324F-406462E8A90D}
10.1.18362.1    Universal CRT Tools x64                                                       Microsoft Corporation                              5 {54FE4D23-11A2-F1C4-76E9-79C8FB40A4A1}
10.1.18362.1    Universal CRT Tools x86                                                       Microsoft Corporation                              5 {9F7B0D96-881D-8850-C303-43F3A08E6902}
10.1.16299.15   Universal General MIDI DLS Extension SDK                                      Microsoft Corporation                              5 {D261CEA1-AB8D-9CFA-4407-BCEFC78661AC}
